127.0.0.1 - - [27/Aug/2016:10:42:03 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Aug/2016:10:42:35 -0300] "GET /Sistemaxm/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2016:10:42:36 -0300] "GET /Sistemaxm/faces/Master.xhtml HTTP/1.1" 200 19988
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:42:41 -0300] "POST /Sistemaxm/faces/TelaLogin.xhtml HTTP/1.1" 200 17854
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:42:50 -0300] "GET /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 22831
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:43:54 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:43:59 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:44:08 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:44:11 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:44:14 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:44:27 -0300] "GET /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:44:27 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 619857
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:47:40 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 626463
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:49:05 -0300] "GET /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:49:05 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 626437
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:49:53 -0300] "GET /Sistemaxm/faces/CadastroReceita.xhtml HTTP/1.1" 200 65897
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:50:10 -0300] "POST /Sistemaxm/faces/CadastroReceita.xhtml HTTP/1.1" 200 39084
0:0:0:0:0:0:0:1 - admin [27/Aug/2016:10:50:41 -0300] "POST /Sistemaxm/faces/CadastroReceita.xhtml HTTP/1.1" 200 28220
0:0:0:0:0:0:0:1 - - [27/Aug/2016:10:50:58 -0300] "POST /Sistemaxm/faces/CadastroReceita.xhtml HTTP/1.1" 200 19984
