127.0.0.1 - - [15/Oct/2016:11:14:18 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:45 -0300] "GET /Sistemaxm/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/Master.xhtml HTTP/1.1" 200 20226
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:47 -0300] "GET /Sistemaxm/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:11:14:48 -0300] "GET /Sistemaxm/faces/javax.faces.resource/images/ui-icons_333333_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "POST /Sistemaxm/faces/TelaLogin.xhtml HTTP/1.1" 200 18095
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:51 -0300] "GET /Sistemaxm/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:54 -0300] "GET /Sistemaxm/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:14:58 -0300] "GET /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 23073
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:15:01 -0300] "GET /Sistemaxm/faces/javax.faces.resource/images/ui-icons_333333_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:15:20 -0300] "GET /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - admin [15/Oct/2016:11:15:20 -0300] "POST /Sistemaxm/faces/RelatorioCentroCustos.xhtml HTTP/1.1" 200 627663
