127.0.0.1 - - [20/Jun/2016:16:58:00 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:06 -0300] "GET /FinanceiroJPA/ HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:09 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml;jsessionid=121192AC696ECA10CD9A2FEB4F9AFF9E?ln=css HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:09 -0300] "GET /FinanceiroJPA/imagens/tela.png HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:22 -0300] "GET /FinanceiroJPA/ HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:22 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml;jsessionid=58D64A4B082063880C2744993452AF2B?ln=css HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:22 -0300] "GET /FinanceiroJPA/imagens/tela.png HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:22 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:35 -0300] "POST /FinanceiroJPA/Login.xhtml;jsessionid=58D64A4B082063880C2744993452AF2B HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [20/Jun/2016:16:59:35 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:51 -0300] "POST /FinanceiroJPA/Login.xhtml HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:51 -0300] "GET /FinanceiroJPA/imagens/logo.png HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:51 -0300] "GET /FinanceiroJPA/imagens/vibra_tech.png HTTP/1.1" 200 24023
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:51 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:51 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 147802
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:58 -0300] "GET /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:58 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:58 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:58 -0300] "GET /FinanceiroJPA/imagens/despesa.png HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:16:59:59 -0300] "GET /FinanceiroJPA/imagens/receita.png HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:17:00:06 -0300] "GET /FinanceiroJPA/Home.xhtml HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:17:00:06 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:17:00:06 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:17:00:07 -0300] "GET /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:17:00:07 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - maria [20/Jun/2016:17:00:07 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2016:17:00:11 -0300] "POST /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [20/Jun/2016:17:00:11 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2016:17:02:30 -0300] "POST /FinanceiroJPA/Login.xhtml HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [20/Jun/2016:17:02:30 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:35 -0300] "POST /FinanceiroJPA/Login.xhtml HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:35 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:35 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:36 -0300] "GET /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 7784
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:36 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:36 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:36 -0300] "GET /FinanceiroJPA/imagens/editar.png HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:36 -0300] "GET /FinanceiroJPA/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:36 -0300] "GET /FinanceiroJPA/imagens/excluir.png HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:39 -0300] "GET /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:39 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:39 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:49 -0300] "GET /FinanceiroJPA/ConsultaLancamento.xhtml HTTP/1.1" 200 7782
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:49 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:49 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:02:49 -0300] "GET /FinanceiroJPA/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:03:28 -0300] "GET /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:03:28 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:03:28 -0300] "GET /FinanceiroJPA/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:03:33 -0300] "POST /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - henrique [20/Jun/2016:17:03:34 -0300] "POST /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [20/Jun/2016:17:36:14 -0300] "POST /FinanceiroJPA/CadastroLancamento.xhtml HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [20/Jun/2016:17:36:14 -0300] "GET /FinanceiroJPA/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
