127.0.0.1 - - [18/Dec/2016:20:41:49 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:21 -0300] "GET /gestao-orcamentos/ HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/styles/custom.css.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=algaworks HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/styles/components.css.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=algaworks HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/styles/layout.css.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=algaworks HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 35033
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 29146
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/core.js.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/Orcamentos.xhtml HTTP/1.1" 200 16197
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/components.js.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/components.css.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=primefaces&v=6.0 HTTP/1.1" 200 75524
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/javascripts/app.js.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=algaworks HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:41 -0300] "GET /gestao-orcamentos/javax.faces.resource/images/logo.png.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578?ln=algaworks HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:42 -0300] "GET /gestao-orcamentos/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 200 70805
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:43 -0300] "GET /gestao-orcamentos/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:43 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:42:46 -0300] "POST /gestao-orcamentos/Orcamentos.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578 HTTP/1.1" 200 4693
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:44:26 -0300] "POST /gestao-orcamentos/Orcamentos.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578 HTTP/1.1" 200 4693
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:44:44 -0300] "POST /gestao-orcamentos/Orcamentos.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578 HTTP/1.1" 200 6083
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:45:05 -0300] "POST /gestao-orcamentos/Orcamentos.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578 HTTP/1.1" 200 4693
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:45:29 -0300] "POST /gestao-orcamentos/Orcamentos.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578 HTTP/1.1" 200 6288
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:45:58 -0300] "POST /gestao-orcamentos/Orcamentos.xhtml;jsessionid=0DAAE9C0C2D4E434F0666B9968787578 HTTP/1.1" 200 13367
0:0:0:0:0:0:0:1 - - [18/Dec/2016:20:45:58 -0300] "GET /gestao-orcamentos/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 27245
